"Absolute
 pressure",Boiling point,Specific volume (steam),Density (steam),"Specific enthalpy
 of liquid water (sensible heat)",,"Specific enthalpy of steam
 (total heat)",,Latent heat of vaporization,,Specific heat,Dynamic viscosity
bar,°C,m3/kg,kg/m3,kj/kg,Kcal/kg,kj/kg,Kcal/kg,kj/kg,Kcal/kg,kj/kg.K,kg/m.s
0.02,17.51,67.006,15,73.45,17.54,2533.64,605.15,2460.19,587.61,1.8644,10
0.03,24.10,45.667,22,101.00,24.12,2545.64,608.02,2444.65,583.89,1.8694,10
0.04,28.98,34.802,29,121.41,29.00,2554.51,610.13,2433.10,581.14,1.8736,10
0.05,32.90,28.194,35,137.77,32.91,2561.59,611.83,2423.82,578.92,1.8774,10
0.06,36.18,23.741,42,151.50,36.19,2567.51,613.24,2416.01,577.05,1.8808,10
0.07,39.02,20.531,49,163.38,39.02,2572.62,614.46,2409.24,575.44,1.8840,10
0.08,41.53,18.105,55,173.87,41.53,2577.11,615.53,2403.25,574.01,1.8871,10
0.09,43.79,16.204,62,183.28,43.78,2581.14,616.49,2397.85,572.72,1.8899,10
0.1,45.83,14.675,68,191.84,45.82,2584.78,617.36,2392.94,571.54,1.8927,10
0.2,60.09,7.650,131,251.46,60.06,2609.86,623.35,2358.40,563.30,1.9156,11
0.3,69.13,5.229,191,289.31,69.10,2625.43,627.07,2336.13,557.97,1.9343,11
0.4,75.89,3.993,250,317.65,75.87,2636.88,629.81,2319.23,553.94,1.9506,11
0.5,81.35,3.240,309,340.57,81.34,2645.99,631.98,2305.42,550.64,1.9654,12
0.6,85.95,2.732,366,359.93,85.97,2653.57,633.79,2293.64,547.83,1.9790,12
0.7,89.96,2.365,423,376.77,89.99,2660.07,635.35,2283.30,545.36,1.9919,12
0.8,93.51,2.087,479,391.73,93.56,2665.77,636.71,2274.05,543.15,2.1940,12
0.9,96.71,1.869,535,405.21,96.78,2670.85,637.92,2265.65,541.14,2.0156,12
1,99.63,1.694,590,417.51,99.72,2675.43,639.02,2257.92,539.30,2.0267,12
1.1,102.32,1.549,645,428.84,102.43,2679.61,640.01,2250.76,537.59,2.0373,12
1.2,104.81,1.428,700,439.36,104.94,2683.44,640.93,2244.08,535.99,2.0476,12
1.3,107.13,1.325,755,449.19,107.29,2686.98,641.77,2237.79,534.49,2.0576,13
1.4,109.32,1.236,809,458.42,109.49,2690.28,642.56,2231.86,533.07,2.0673,13
1.5,111.37,1.159,863,467.13,111.57,2693.36,643.30,2226.23,531.73,2.0768,13
1.5,111.37,1.159,863,467.13,111.57,2693.36,643.30,2226.23,531.73,2.0768,13
1.6,113.32,1.091,916,475.38,113.54,2696.25,643.99,2220.87,530.45,2.0860,13
1.7,115.17,1.031,970,483.22,115.42,2698.97,644.64,2215.75,529.22,2.0950,13
1.8,116.93,977,1.023,490.70,117.20,2701.54,645.25,2210.84,528.05,2.1037,13
1.9,118.62,929,1.076,497.85,118.91,2703.98,645.83,2206.13,526.92,2.1124,13
2,120.23,885,1.129,504.71,120.55,2706.29,646.39,2201.59,525.84,2.1208,13
2.2,123.27,810,1.235,517.63,123.63,2710.60,647.42,2192.98,523.78,2.1372,13
2.4,126.09,746,1.340,529.64,126.50,2714.55,648.36,2184.91,521.86,2.1531,13
2.6,128.73,693,1.444,540.88,129.19,2718.17,649.22,2177.30,520.04,2.1685,13
2.8,131.20,646,1.548,551.45,131.71,2721.54,650.03,2170.08,518.32,2.1835,13
3,133.54,606,1.651,561.44,134.10,2724.66,650.77,2163.22,516.68,2.1981,13
3.5,138.87,524,1.908,584.28,139.55,2731.63,652.44,2147.35,512.89,2.2331,14
4,143.63,462,2.163,604.68,144.43,2737.63,653.87,2132.95,509.45,2.2664,14
4.5,147.92,414,2.417,623.17,148.84,2742.88,655.13,2119.71,506.29,2.2983,14
5,151.85,375,2.669,640.12,152.89,2747.54,656.24,2107.42,503.35,2.3289,14
5.5,155.47,342,2.920,655.81,156.64,2751.70,657.23,2095.90,500.60,2.3585,14
6,158.84,315,3.170,670.43,160.13,2755.46,658.13,2085.03,498.00,2.3873,14
6.5,161.99,292,3.419,684.14,163.40,2758.87,658.94,2074.73,495.54,2.4152,14
7,164.96,273,3.667,697.07,166.49,2761.98,659.69,2064.92,493.20,2.4424,15
7.5,167.76,255,3.915,709.30,169.41,2764.84,660.37,2055.53,490.96,2.4690,15
8,170.42,240,4.162,720.94,172.19,2767.46,661.00,2046.53,488.80,2.4951,15
8.5,172.94,227,4.409,732.03,174.84,2769.89,661.58,2037.86,486.73,2.5206,15
9,175.36,215,4.655,742.64,177.38,2772.13,662.11,2029.49,484.74,2.5456,15
9.5,177.67,204,4.901,752.82,179.81,2774.22,662.61,2021.40,482.80,2.5702,15
10,179.88,194,5.147,762.60,182.14,2776.16,663.07,2013.56,480.93,2.5944,15
11,184.06,177,5.638,781.11,186.57,2779.66,663.91,1998.55,477.35,2.6418,15
12,187.96,163,6.127,798.42,190.70,2782.73,664.64,1984.31,473.94,2.6878,15
13,191.60,151,6.617,814.68,194.58,2785.42,665.29,1970.73,470.70,2.7327,15
14,195.04,141,7.106,830.05,198.26,2787.79,665.85,1957.73,467.60,2.7767,16
15,198.28,132,7.596,844.64,201.74,2789.88,666.35,1945.24,464.61,2.8197,16
16,201.37,124,8.085,858.54,205.06,2791.73,666.79,1933.19,461.74,2.8620,16
17,204.30,117,8.575,871.82,208.23,2793.37,667.18,1921.55,458.95,2.9036,16
18,207.11,110,9.065,884.55,211.27,2794.81,667.53,1910.27,456.26,2.9445,16
19,209.79,105,9.556,896.78,214.19,2796.09,667.83,1899.31,453.64,2.9849,16
20,212.37,100,10.047,908.56,217.01,2797.21,668.10,1888.65,451.10,3.0248,16
21,214.85,95,10.539,919.93,219.72,2798.18,668.33,1878.25,448.61,3.0643,16
22,217.24,91,11.032,930.92,222.35,2799.03,668.54,1868.11,446.19,3.1034,16
23,219.55,87,11.525,941.57,224.89,2799.77,668.71,1858.20,443.82,3.1421,16
24,221.78,83,12.020,951.90,227.36,2800.39,668.86,1848.49,441.50,3.1805,17
25,223.94,80,12.515,961.93,229.75,2800.91,668.99,1838.98,439.23,3.2187,17
26,226.03,77,13.012,971.69,232.08,2801.35,669.09,1829.66,437.01,3.2567,17
27,228.06,74,13.509,981.19,234.35,2801.69,669.17,1820.50,434.82,3.2944,17
